 EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 10-11-2017
THESE DATA CAN BE USED FREELY FOR NON-COMMERCIAL RESEARCH PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SANTANDER/PARAYAS, SPAIN (STAID: 3923)
Blended and updated with sources:19990 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  3923, 19990,19540926,    0,    0
  3923, 19990,19540927,    0,    0
  3923, 19990,19540928,    9,    0
  3923, 19990,19540929,    0,    0
  3923, 19990,19540930,    0,    0
  3923, 19990,19541001,    0,    0
  3923, 19990,19541002,    0,    0
  3923, 19990,19541003,    0,    0
  3923, 19990,19541004,    0,    0
  3923, 19990,19541005,    0,    0
  3923, 19990,19541006,    0,    0
  3923, 19990,19541007,   40,    0
  3923, 19990,19541008,    0,    0
  3923, 19990,19541009,   62,    0
  3923, 19990,19541010,   25,    0
  3923, 19990,19541011,    0,    0
  3923, 19990,19541012,    0,    0
  3923, 19990,19541013,    0,    0
  3923, 19990,19541014,    0,    0
  3923, 19990,19541015,    0,    0
  3923, 19990,19541016,    0,    0
  3923, 19990,19541017,    0,    0
  3923, 19990,19541018,    0,    0
  3923, 19990,19541019,  181,    0
  3923, 19990,19541020,    1,    0
  3923, 19990,19541021,    1,    0
  3923, 19990,19541022,    0,    0
  3923, 19990,19541023,   20,    0
  3923, 19990,19541024,   27,    0
  3923, 19990,19541025,    0,    0
  3923, 19990,19541026,    0,    0
  3923, 19990,19541027,    0,    0
  3923, 19990,19541028,    0,    0
  3923, 19990,19541029,    8,    0
  3923, 19990,19541030,   62,    0
  3923, 19990,19541031,    0,    0
  3923, 19990,19541101,    0,    0
  3923, 19990,19541102,    0,    0
  3923, 19990,19541103,    0,    0
  3923, 19990,19541104,    0,    0
  3923, 19990,19541105,    0,    0
  3923, 19990,19541106,    0,    0
  3923, 19990,19541107,    0,    0
  3923, 19990,19541108,  102,    0
  3923, 19990,19541109,   27,    0
  3923, 19990,19541110,    0,    0
  3923, 19990,19541111,   11,    0
  3923, 19990,19541112,    0,    0
  3923, 19990,19541113,   47,    0
  3923, 19990,19541114,    0,    0
  3923, 19990,19541115,    0,    0
  3923, 19990,19541116,    0,    0
  3923, 19990,19541117,    0,    0
  3923, 19990,19541118,    0,    0
  3923, 19990,19541119,    0,    0
  3923, 19990,19541120,    0,    0
  3923, 19990,19541121,    0,    0
  3923, 19990,19541122,    0,    0
  3923, 19990,19541123,  231,    0
  3923, 19990,19541124,    8,    0
  3923, 19990,19541125,    7,    0
  3923, 19990,19541126,   15,    0
  3923, 19990,19541127,    0,    0
  3923, 19990,19541128,    0,    0
  3923, 19990,19541129,    0,    0
  3923, 19990,19541130,   11,    0
  3923, 19990,19541201,   44,    0
  3923, 19990,19541202,    0,    0
  3923, 19990,19541203,    0,    0
  3923, 19990,19541204,    0,    0
  3923, 19990,19541205,    0,    0
  3923, 19990,19541206,    0,    0
  3923, 19990,19541207,   50,    0
  3923, 19990,19541208,    8,    0
  3923, 19990,19541209,    0,    0
  3923, 19990,19541210,  108,    0
  3923, 19990,19541211,    0,    0
  3923, 19990,19541212,    7,    0
  3923, 19990,19541213,-9999,    9
  3923, 19990,19541214,    0,    0
  3923, 19990,19541215,    0,    0
  3923, 19990,19541216,    0,    0
  3923, 19990,19541217,    0,    0
  3923, 19990,19541218,    0,    0
  3923, 19990,19541219,    0,    0
  3923, 19990,19541220,    0,    0
  3923, 19990,19541221,    1,    0
  3923, 19990,19541222,   14,    0
  3923, 19990,19541223,    8,    0
  3923, 19990,19541224,    9,    0
  3923, 19990,19541225,    0,    0
  3923, 19990,19541226,    0,    0
  3923, 19990,19541227,    0,    0
  3923, 19990,19541228,    0,    0
  3923, 19990,19541229,    0,    0
  3923, 19990,19541230,    0,    0
  3923, 19990,19541231,    0,    0
  3923, 19990,19550101,    0,    0
  3923, 19990,19550102,   81,    0
  3923, 19990,19550103,   11,    0
  3923, 19990,19550104,    0,    0
  3923, 19990,19550105,  260,    0
  3923, 19990,19550106,   35,    0
  3923, 19990,19550107,  141,    0
  3923, 19990,19550108,   18,    0
  3923, 19990,19550109,   85,    0
  3923, 19990,19550110,    0,    0
  3923, 19990,19550111,    0,    0
  3923, 19990,19550112,  143,    0
  3923, 19990,19550113,   12,    0
  3923, 19990,19550114,    1,    0
  3923, 19990,19550115,    3,    0
  3923, 19990,19550116,   28,    0
  3923, 19990,19550117,  111,    0
  3923, 19990,19550118,   87,    0
  3923, 19990,19550119,   55,    0
  3923, 19990,19550120,  155,    0
  3923, 19990,19550121,    0,    0
  3923, 19990,19550122,   57,    0
  3923, 19990,19550123,   44,    0
  3923, 19990,19550124,    0,    0
  3923, 19990,19550125,    0,    0
  3923, 19990,19550126,    0,    0
  3923, 19990,19550127,    0,    0
  3923, 19990,19550128,    0,    0
  3923, 19990,19550129,   58,    0
  3923, 19990,19550130,    0,    0
  3923, 19990,19550131,  178,    0
  3923, 19990,19550201,    0,    0
  3923, 19990,19550202,    3,    0
  3923, 19990,19550203,    0,    0
  3923, 19990,19550204,    2,    0
  3923, 19990,19550205,   64,    0
  3923, 19990,19550206,   25,    0
  3923, 19990,19550207,    0,    0
  3923, 19990,19550208,    0,    0
  3923, 19990,19550209,   23,    0
  3923, 19990,19550210,   24,    0
  3923, 19990,19550211,    8,    0
  3923, 19990,19550212,   64,    0
  3923, 19990,19550213,   84,    0
  3923, 19990,19550214,    0,    0
  3923, 19990,19550215,    0,    0
  3923, 19990,19550216,  144,    0
  3923, 19990,19550217,  122,    0
  3923, 19990,19550218,   77,    0
  3923, 19990,19550219,  250,    0
  3923, 19990,19550220,  163,    0
  3923, 19990,19550221,    0,    0
  3923, 19990,19550222,    0,    0
  3923, 19990,19550223,    0,    0
  3923, 19990,19550224,   60,    0
  3923, 19990,19550225,   79,    0
  3923, 19990,19550226,  299,    0
